Interests
Billiards
""
Decorating
Fitness
Personal growth
Politics
Movies/ Cinema
Making music
a:0:{}
Swimming
Hunting
Music
Hiking
Cooking
Shooting sports
Shooting Sports
Martial arts
Arts
Gardening
Antiques
Cats
Golf
Personal Growth
Running
Horses
Performing arts/ Theatre
Writing
Tennis/ Racquet sports
Dining out
Business
Pop/Rock/Jazz music
Dogs
Travel
Classical music
Sailing
Martial Arts
Family
Dancing
