Language
""
German (Bayrisch)
Latvian
Irish (Gaeilge)
Czech
Scottish Gaelic (Gidhlig)
Welsh (Cymraeg)
Greek
Dutch
Scots
English
German
Estonian
Finnish
a:0:{}
Hungarian
German (Swiss)
Spanish
Italien
Swedish
Slovak
Romanian
Italian
Danish
Afrikaans
Polish
Russian
Portugese
Lithuanian
German (Platt)
Catalan
Breton (Brezhoneg)
French
Serbo-Croatian
Norwegian
Icelandic
