Interests
""
Family
Martial Arts
Hiking
Swimming
Music
Shooting sports
Dogs
Classical music
Sailing
Movies/ Cinema
Dining out
Travel
a:0:{}
Personal Growth
Making music
Cats
Shooting Sports
Running
Dancing
Arts
Hunting
Writing
Antiques
Tennis/ Racquet sports
Personal growth
Fitness
Politics
Cooking
Golf
Billiards
Horses
Gardening
Martial arts
Pop/Rock/Jazz music
Business
Decorating
Performing arts/ Theatre
