Language
""
Danish
Norwegian
Scots
Hungarian
Slovak
Czech
Portugese
Latvian
Serbo-Croatian
English
German (Swiss)
a:0:{}
Romanian
Dutch
Polish
Breton (Brezhoneg)
Lithuanian
Catalan
German (Bayrisch)
Greek
German (Platt)
Spanish
Russian
Scottish Gaelic (Gidhlig)
Icelandic
Finnish
German
Italien
Swedish
Estonian
Welsh (Cymraeg)
Italian
Afrikaans
French
Irish (Gaeilge)
